,City,Lat,Lng,Date and Time,Max Temperature,Humidity,Cloudiness,Windspeed
333,Namuac,18.61,121.17,2020-10-20 17:02:56,80.56,88,100,24.63
334,Alotau,18.61,121.17,2020-10-20 17:02:56,80.56,88,100,24.63
335,Horsham,51.06,-0.33,2020-10-20 17:02:58,60.8,82,20,6.93
336,Ostersund,63.18,14.64,2020-10-20 17:00:20,30.2,100,90,12.75
337,Pak Phanang,8.35,100.2,2020-10-20 17:03:01,80.8,80,53,3.71
338,Makungu,-8.73,35.28,2020-10-20 17:03:03,69.21,62,17,5.77
339,Zhanaozen,43.3,52.8,2020-10-20 17:03:06,50.79,73,9,14.85
340,Shushenskoye,53.33,91.94,2020-10-20 17:03:08,42.8,60,92,4.47
341,Antsohihy,-14.88,47.99,2020-10-20 17:01:11,82,53,42,4.72
342,Mount Isa,-20.73,139.5,2020-10-20 17:03:12,78.8,26,40,6.93
343,San Cristobal,7.77,-72.22,2020-10-20 17:03:13,89.6,49,40,6.93
344,Tsihombe,7.77,-72.22,2020-10-20 17:03:13,89.6,49,40,6.93
345,Tolstoy-Yurt,43.44,45.77,2020-10-20 17:03:19,57.2,62,100,4.47
346,Puerto Guzman,0.97,-76.59,2020-10-20 17:03:20,86.97,58,53,4.45
347,Mount Gambier,-37.83,140.77,2020-10-20 17:03:21,44.6,93,90,4.7
348,Tretten,61.31,10.3,2020-10-20 17:03:23,30,94,100,3
349,Grand Gaube,-20.01,57.66,2020-10-20 17:03:24,75.99,69,2,5.01
350,Kavieng,-2.57,150.8,2020-10-20 16:56:55,81,79,77,10.16
351,Sept-Iles,50.2,-66.38,2020-10-20 17:01:35,43,100,90,10.29
352,Lodja,-3.48,23.43,2020-10-20 17:03:27,73.06,90,72,3.2
353,Vanimo,-2.67,141.3,2020-10-20 17:03:29,78.58,79,100,1.39
354,Phan Rang,-2.67,141.3,2020-10-20 17:03:29,78.58,79,100,1.39
355,Pisco,-13.7,-76.22,2020-10-20 17:00:22,66.2,72,20,10.29
356,Paramaribo,5.87,-55.17,2020-10-20 17:03:32,91.99,58,89,4
357,Ayan,56.45,138.17,2020-10-20 17:00:23,33.15,77,81,1.43
358,Dali,25.7,100.18,2020-10-20 17:03:22,58.32,89,98,2.57
359,Bandar-E Torkaman,25.7,100.18,2020-10-20 17:03:22,58.32,89,98,2.57
360,Kysyl-Syr,63.9,122.76,2020-10-20 17:03:37,18.64,97,98,4.23
361,Santo Domingo,18.5,-69.99,2020-10-20 17:02:30,90,70,40,5.26
362,Snasa,64.25,12.38,2020-10-20 17:03:40,33.8,80,20,19.46
363,Vagay,57.94,69.02,2020-10-20 17:03:41,44.74,92,100,7.92
364,Ciumeghiu,46.73,21.58,2020-10-20 17:03:42,50,66,17,4.7
365,Nuuk,64.18,-51.72,2020-10-20 16:59:13,35.6,100,90,13.87
366,Orotukan,62.27,151.7,2020-10-20 17:03:45,11.39,91,49,3.89
367,Orapa,-21.28,25.37,2020-10-20 17:03:46,90.39,11,2,6.24
368,Ixtapa,20.7,-105.2,2020-10-20 16:56:16,88,66,5,2.33
369,Bargal,20.7,-105.2,2020-10-20 16:56:16,88,66,5,2.33
370,Vaitape,-16.52,-151.75,2020-10-20 16:59:47,79.48,81,80,15.7
371,Inuvik,68.35,-133.72,2020-10-20 17:03:51,23,92,90,11.41
372,Sovetskiy,61.36,63.58,2020-10-20 17:02:45,32.9,96,100,6.46
373,Aswan,24.09,32.91,2020-10-20 17:03:53,88.93,13,0,7.83
374,Aripuana,-9.17,-60.63,2020-10-20 17:03:54,96.69,35,60,4
375,Gawler,-34.6,138.73,2020-10-20 17:03:58,60.01,71,92,8.99
376,Lagoa,39.05,-27.98,2020-10-20 16:59:51,63.46,67,13,28.05
377,Manta,-0.95,-80.73,2020-10-20 16:59:20,78.21,68,78,12.12
378,Richards Bay,-28.78,32.04,2020-10-20 16:59:47,68.63,76,93,13.44
379,Inirida,3.87,-67.92,2020-10-20 17:02:14,89.82,63,69,3.74
380,Parksville,49.32,-124.32,2020-10-20 17:00:02,48.99,89,100,1.86
381,Barentu,15.11,37.59,2020-10-20 17:04:05,81.19,24,0,11.12
382,Copiapo,-27.37,-70.33,2020-10-20 16:59:27,60.8,72,40,13.87
383,Coihaique,-45.58,-72.07,2020-10-20 17:03:12,50,57,20,9.17
384,Bambous Virieux,-20.34,57.76,2020-10-20 17:04:08,75.99,73,40,12.75
385,Haibowan,-20.34,57.76,2020-10-20 17:04:08,75.99,73,40,12.75
386,Tam Ky,15.57,108.48,2020-10-20 17:04:11,80.6,83,75,9.17
387,Birin,26.89,88.07,2020-10-20 17:04:12,58.86,90,0,3.8
388,Port Macquarie,-31.43,152.92,2020-10-20 17:04:14,55,99,22,3.27
389,Saint-Michel-Des-Saints,46.68,-73.92,2020-10-20 17:04:15,39.83,88,100,9.22
390,Tarudant,46.68,-73.92,2020-10-20 17:04:15,39.83,88,100,9.22
391,Zion,42.45,-87.83,2020-10-20 17:04:17,46.4,70,90,6.93
392,Oum Hadjer,13.3,19.7,2020-10-20 17:04:19,92.48,12,6,7.58
393,Vidim,56.41,103.11,2020-10-20 17:04:20,27.52,96,100,5.95
394,Dhidhdhoo,6.88,73.1,2020-10-20 17:04:21,82.27,80,78,11.5
395,Beloha,-25.17,45.05,2020-10-20 17:04:25,72.7,61,0,5.61
396,Port Moresby,-9.44,147.18,2020-10-20 17:04:27,75.65,91,60,8.88
397,Tumannyy,-9.44,147.18,2020-10-20 17:04:27,75.65,91,60,8.88
398,Lensk,60.73,114.93,2020-10-20 17:03:04,24.3,96,98,6.06
399,Raudeberg,61.99,5.14,2020-10-20 17:04:30,44.6,87,75,21.92
400,Bonthe,7.53,-12.51,2020-10-20 16:59:57,82.47,74,83,11.05
401,Bacong,9.25,123.3,2020-10-20 17:04:32,78.33,86,100,8.12
402,Deer Lake,49.17,-57.43,2020-10-20 17:04:35,57.2,93,90,2.24
403,Alofi,-19.06,-169.92,2020-10-20 16:57:36,71.6,94,76,10.29
404,Marcona,-19.06,-169.92,2020-10-20 16:57:36,71.6,94,76,10.29
405,Dianopolis,-19.06,-169.92,2020-10-20 16:57:36,71.6,94,76,10.29
406,Gweru,-19.45,29.82,2020-10-20 17:04:43,76.78,17,0,5.1
407,Emerald,-23.53,148.17,2020-10-20 16:56:30,71.6,73,75,11.41
408,Ayna,-12.65,-73.92,2020-10-20 17:04:45,71.6,26,20,6.93
409,Kautokeino,69.01,23.04,2020-10-20 16:59:47,27.79,96,92,2.75
410,Mahendragarh,28.28,76.15,2020-10-20 17:04:47,77.94,17,0,4.16
411,Shangqiu,34.45,115.65,2020-10-20 17:04:49,63,62,82,8.63
412,Haines Junction,60.75,-137.51,2020-10-20 17:04:51,24.82,90,100,3.13
413,Buchanan,5.88,-10.05,2020-10-20 17:02:51,86,74,75,5.82
414,Hamilton,39.18,-84.53,2020-10-20 16:56:27,52,93,90,6.93
415,Syracuse,37.09,15.28,2020-10-20 17:03:20,66.2,77,20,3.36
416,Nikki,9.94,3.21,2020-10-20 17:04:55,83.17,56,10,4.03
417,Sabha,27.04,14.43,2020-10-20 16:57:12,78.1,35,80,10.69
418,Cayenne,4.93,-52.33,2020-10-20 16:59:10,91.4,55,40,10.29
419,Northam,51.03,-4.22,2020-10-20 17:02:47,60.01,87,37,1.99
420,Southbridge,42.08,-72.03,2020-10-20 17:05:00,66,82,89,1.99
421,Hailar,49.2,119.7,2020-10-20 17:05:02,35.33,86,53,6.42
422,Batagay-Alyta,67.8,130.41,2020-10-20 17:05:03,10.8,91,92,1.52
423,Fort Walton Beach,30.41,-86.62,2020-10-20 17:01:11,82.4,69,1,6.93
424,Vostochnyy,55.82,37.87,2020-10-20 17:05:05,37.4,80,75,13.42
425,Manati,18.43,-66.49,2020-10-20 17:05:07,90,70,40,6.93
426,Caravelas,-17.71,-39.25,2020-10-20 17:02:24,80.42,68,99,9.01
427,Constitucion,-35.33,-72.42,2020-10-20 16:59:08,62.76,50,0,17.78
428,Manggar,-2.88,108.27,2020-10-20 17:05:10,80.85,77,89,2.17
429,Telhara,21.03,76.84,2020-10-20 17:05:11,78.93,74,9,3.42
430,Melioratorov,57.21,65.61,2020-10-20 17:05:13,42.8,93,75,11.18
431,Macaboboni,57.21,65.61,2020-10-20 17:05:13,42.8,93,75,11.18
432,Berlevag,70.86,29.09,2020-10-20 17:00:27,33.8,77,75,2.24
433,Saint Anthony,45.02,-93.22,2020-10-20 17:05:16,33.01,97,90,8.05
434,Bathsheba,13.22,-59.52,2020-10-20 17:01:06,87.8,70,75,11.41
435,Coquimbo,-29.95,-71.34,2020-10-20 16:57:32,62.6,63,0,16.11
436,Nyurba,63.28,118.33,2020-10-20 17:05:23,16.34,96,49,4.59
437,Umm Lajj,25.02,37.27,2020-10-20 17:01:27,81.3,60,0,2.08
438,Honiara,-9.43,159.95,2020-10-20 17:00:28,75.2,88,40,2.24
439,Bosaso,11.28,49.18,2020-10-20 16:57:05,80.67,57,0,2.19
440,Timbiqui,2.77,-77.67,2020-10-20 17:05:27,81.37,81,52,7
441,Kahului,20.89,-156.47,2020-10-20 17:00:03,71.01,77,20,4.7
442,Mehamn,71.04,27.85,2020-10-20 17:03:04,33.8,81,75,4.7
443,Van,38.49,43.38,2020-10-20 17:05:32,53.6,50,40,2.24
444,Gusau,12.16,6.66,2020-10-20 17:05:33,88.34,24,2,6.17
445,Aras,42.56,-2.36,2020-10-20 17:03:05,62.6,82,40,17.22
446,One Hundred Mile House,42.56,-2.36,2020-10-20 17:03:05,62.6,82,40,17.22
447,Fukue,32.69,128.84,2020-10-20 16:58:36,70.59,56,9,9.8
448,Oktyabrsk,49.47,57.42,2020-10-20 17:05:37,45.46,80,36,16.49
449,Xinzhou,38.41,112.73,2020-10-20 17:05:39,45.88,41,40,13.33
450,Buarcos,40.17,-8.88,2020-10-20 17:05:40,61,93,75,4.7
451,Guerrero Negro,27.98,-114.06,2020-10-20 17:05:41,77.13,62,0,6.71
452,Margate,51.38,1.39,2020-10-20 16:59:45,60.01,82,100,5.01
453,Alice Springs,-23.7,133.88,2020-10-20 17:03:22,69.8,77,33,8.05
454,Marsh Harbour,26.54,-77.06,2020-10-20 17:05:15,81.28,76,73,22.24
455,Cheremukhovo,60.35,59.99,2020-10-20 17:05:46,30.13,98,89,4.25
456,Kiunga,-6.12,141.29,2020-10-20 17:05:47,73.71,99,100,2.01
457,Nanortalik,60.14,-45.24,2020-10-20 16:59:44,37.47,86,98,2.64
458,Hambantota,6.12,81.12,2020-10-20 17:00:31,79.92,80,0,17.54
459,Camacupa,-12.02,17.48,2020-10-20 17:05:51,77.68,30,36,3.98
460,Bay Roberts,47.6,-53.26,2020-10-20 17:05:52,61,82,75,11.99
461,Suez,29.97,32.53,2020-10-20 17:05:53,76.95,64,0,12.28
462,Pemangkat,1.17,108.97,2020-10-20 17:02:57,79.83,79,81,3.09
463,Svobodnyy,51.4,128.13,2020-10-20 17:05:56,41.95,81,100,15.01
464,Baykit,61.67,96.37,2020-10-20 16:59:55,22.62,95,89,1.36
465,Malyye Derbety,47.95,44.68,2020-10-20 17:05:58,52.05,60,63,8.72
466,Bandarbeyla,9.49,50.81,2020-10-20 17:06:00,80.02,75,0,5.61
467,Hay River,60.82,-115.8,2020-10-20 17:06:01,19.4,92,90,11.41
468,Neryungri,56.67,124.65,2020-10-20 16:59:51,22.6,96,100,6.67
469,Polyarnyy,69.2,33.45,2020-10-20 17:02:21,32,80,75,4.47
470,Sao Paulo De Olivenca,-3.38,-68.87,2020-10-20 17:06:04,95.86,42,48,4.16
471,Petropavlovsk-Kamchatskiy,53.05,158.65,2020-10-20 16:59:11,26.6,92,9,4.47
472,Namatanai,-3.67,152.43,2020-10-20 17:00:31,79.14,78,81,1.52
473,Saryshagan,-3.67,152.43,2020-10-20 17:00:31,79.14,78,81,1.52
474,Grand Centre,-3.67,152.43,2020-10-20 17:00:31,79.14,78,81,1.52
475,Freetown,8.48,-13.23,2020-10-20 17:06:10,82.4,74,75,6.93
476,Ust-Kulom,61.69,53.69,2020-10-20 17:06:11,29.75,99,98,3.62
477,Iglino,54.83,56.41,2020-10-20 17:06:13,35.6,80,40,8.95
478,Rajshahi,24.37,88.6,2020-10-20 17:06:14,80.51,64,10,3.83
479,Elbistan,38.21,37.2,2020-10-20 17:06:15,58.8,61,82,1.99
480,Meadow Lake,34.8,-106.54,2020-10-20 17:06:16,68,16,40,4.97
481,Brandon,27.94,-82.29,2020-10-20 17:06:17,86,66,75,11.41
482,Te Anau,-45.42,167.72,2020-10-20 17:06:19,33.53,92,16,1.21
483,Sentyabrskiy,-45.42,167.72,2020-10-20 17:06:19,33.53,92,16,1.21
484,Bull Savanna,17.89,-77.59,2020-10-20 17:06:21,82.13,73,78,15.59
485,Likasi,-10.98,26.73,2020-10-20 17:06:22,72.99,41,25,3.31
486,Alta Floresta,-9.88,-56.09,2020-10-20 17:06:24,94.42,37,89,2.57
487,Koumac,-20.57,164.28,2020-10-20 17:06:25,71.22,76,5,3.18
488,Toliary,-20.57,164.28,2020-10-20 17:06:25,71.22,76,5,3.18
489,Hunza,-20.57,164.28,2020-10-20 17:06:25,71.22,76,5,3.18
490,Jalu,29.03,21.55,2020-10-20 17:00:00,77.16,45,0,8.79
491,Brae,60.4,-1.35,2020-10-20 17:03:23,48.2,87,75,27.51
492,Pulandian,39.4,121.97,2020-10-20 17:06:31,62.6,63,100,13.42
493,Camacha,33.08,-16.33,2020-10-20 17:00:13,71.6,56,20,25.28
494,Turochak,52.26,87.12,2020-10-20 17:06:33,37.33,79,72,1.95
495,Paamiut,61.99,-49.67,2020-10-20 17:06:35,38.28,95,100,14.23
496,Kushiro,42.98,144.37,2020-10-20 17:06:36,42.44,84,0,5.03
497,Linjiang,41.81,126.91,2020-10-20 17:06:37,46.18,74,99,2.93
498,Tuatapere,-46.13,167.68,2020-10-20 16:56:56,42.01,88,48,4.94
499,Isangel,-19.55,169.27,2020-10-20 16:59:51,73.69,79,42,10.25
500,Broken Hill,-31.95,141.43,2020-10-20 17:06:41,62.6,36,68,6.31
501,Anloga,5.79,0.9,2020-10-20 17:06:42,84.2,79,20,13.87
502,Viligili,5.79,0.9,2020-10-20 17:06:42,84.2,79,20,13.87
503,Sorland,67.67,12.69,2020-10-20 16:57:02,41,75,75,12.75
504,Satitoa,67.67,12.69,2020-10-20 16:57:02,41,75,75,12.75
505,Carupano,10.67,-63.26,2020-10-20 17:06:46,87.37,65,0,9.95
506,Sisophon,13.59,102.97,2020-10-20 17:06:48,73.42,89,100,6.6
507,Lucea,18.45,-78.17,2020-10-20 17:06:49,88,70,40,11.41
508,Uyuni,-20.46,-66.83,2020-10-20 16:58:20,63.36,26,0,10.67
509,Ponta Delgada,37.73,-25.67,2020-10-20 17:06:52,64.4,72,40,19.46
510,Dingle,11,122.67,2020-10-20 17:00:28,77.11,85,100,9.1
511,Palmer,42.16,-72.33,2020-10-20 16:59:10,66.99,72,75,6.93
512,Les Cayes,18.2,-73.75,2020-10-20 17:06:56,84.54,71,47,10.63
513,Palabuhanratu,18.2,-73.75,2020-10-20 17:06:56,84.54,71,47,10.63
514,Sobolevo,54.43,31.9,2020-10-20 17:02:59,36.9,80,77,7.31
515,Kruisfontein,-34,24.73,2020-10-20 16:57:07,60.01,74,0,1.99
516,Kasongo-Lunda,-6.47,16.82,2020-10-20 17:02:36,79.61,74,18,3.76
517,Chake Chake,-5.25,39.77,2020-10-20 17:07:02,77.41,79,2,7.43
518,Osinki,52.84,49.51,2020-10-20 17:07:03,40.73,65,9,8.88
519,Kendari,-3.94,122.5,2020-10-20 17:07:04,74.43,86,42,1.39
520,Kiruna,67.86,20.23,2020-10-20 17:07:05,19.4,100,25,1.21
521,Burica,67.86,20.23,2020-10-20 17:07:05,19.4,100,25,1.21
522,Nanakuli,21.39,-158.15,2020-10-20 17:07:08,80.6,74,90,12.75
523,Sao Luiz Gonzaga,-28.41,-54.96,2020-10-20 17:07:09,92.97,31,0,7.87
524,Nileshwar,12.25,75.1,2020-10-20 17:07:10,78.8,94,75,6.55
525,Magomeni,-6.8,39.25,2020-10-20 17:07:11,78.8,74,20,8.05
526,Kutum,14.2,24.67,2020-10-20 17:07:12,82.54,14,8,12.73
527,Rafai,4.95,23.92,2020-10-20 17:07:14,72.95,92,79,3.91
528,Gizo,-8.1,156.84,2020-10-20 17:07:15,82.69,74,71,5.79
529,Ipanguacu,-5.5,-36.85,2020-10-20 17:07:16,100.17,23,94,14.72
530,Ust-Nera,64.57,143.2,2020-10-20 17:07:17,6.01,86,93,4.94
531,Svetlyy,54.67,20.13,2020-10-20 17:01:05,48.2,87,100,6.71
532,Salekhard,66.53,66.6,2020-10-20 17:07:19,17.65,97,96,5.64
533,Zhanakorgan,43.91,67.25,2020-10-20 17:07:21,55.85,36,0,7.34
534,Opelousas,30.53,-92.08,2020-10-20 17:07:22,82,65,1,3.36
535,Marau,-28.45,-52.2,2020-10-20 17:07:23,87.73,39,4,5.53
536,Maningrida,-12.07,134.27,2020-10-20 17:07:24,77.45,76,1,1.83
537,Ashford,51.15,0.87,2020-10-20 17:07:25,61,80,100,5.01
538,Ngukurr,51.15,0.87,2020-10-20 17:07:25,61,80,100,5.01
539,Quatre Cocos,-20.21,57.76,2020-10-20 17:07:28,75.99,73,40,12.75
540,Newtownards,54.59,-5.69,2020-10-20 17:04:01,55.99,87,100,20.8
541,Chiang Khong,20.26,100.4,2020-10-20 17:07:33,69.8,100,90,2.24
542,Birur,13.62,75.97,2020-10-20 17:07:34,69.17,91,100,8.28
543,Save,8.04,2.49,2020-10-20 17:07:36,81.45,80,53,4.52
544,Wewak,-3.55,143.63,2020-10-20 17:07:37,78.91,77,100,1.61
545,Damghan,36.17,54.35,2020-10-20 17:07:38,59.97,34,0,4
546,Tadine,-21.55,167.88,2020-10-20 17:07:39,72.07,83,6,12.66
547,Gryfice,53.92,15.2,2020-10-20 17:07:41,48.99,76,100,13.87
548,Sistranda,63.73,8.83,2020-10-20 17:02:27,39.2,69,75,17.22
549,Basco,20.45,121.97,2020-10-20 17:03:35,82.49,79,100,30.02
550,Balezino,57.98,53.01,2020-10-20 17:07:44,34.2,90,90,8.61
551,Saint-Joseph,-21.37,55.62,2020-10-20 17:00:34,73.4,78,35,5.82
552,Nguiu,-21.37,55.62,2020-10-20 17:00:34,73.4,78,35,5.82
553,Zhanatas,-21.37,55.62,2020-10-20 17:00:34,73.4,78,35,5.82
554,Kaeo,-35.1,173.78,2020-10-20 16:59:48,53.01,93,56,1.25
555,Surt,31.21,16.59,2020-10-20 17:07:50,72.36,55,1,10.27
556,Belyy Yar,53.6,91.39,2020-10-20 17:07:51,42.8,60,80,4.47
557,Comodoro Rivadavia,-45.87,-67.5,2020-10-20 17:03:40,53.6,46,0,12.75
558,Chimoio,-19.12,33.48,2020-10-20 17:07:54,79.12,40,0,8.59
559,Lichinga,-13.31,35.24,2020-10-20 17:07:55,71.38,51,63,7.4
560,Misratah,32.38,15.09,2020-10-20 17:07:56,72.25,55,5,8.39
561,Chunskiy,56.08,99.63,2020-10-20 17:07:57,31.68,98,100,6.26
562,Karachi,24.91,67.08,2020-10-20 17:03:30,78.8,44,0,4.7
563,Lima,-12.04,-77.03,2020-10-20 17:06:31,66,88,90,8.05
564,Erenhot,43.65,111.98,2020-10-20 17:02:52,32.22,83,88,24.18
565,Urumqi,43.8,87.6,2020-10-20 16:56:37,50,34,0,2.24
566,Gubkinskiy,64.43,76.5,2020-10-20 17:08:03,28.09,97,100,6.87
567,Tura,25.52,90.22,2020-10-20 17:00:27,73.65,85,4,3.51
568,Banepa,27.63,85.52,2020-10-20 17:08:06,66.2,88,40,5.82
569,Sawtell,-30.38,153.1,2020-10-20 17:08:07,59,93,90,4.61
570,Reitz,-27.8,28.43,2020-10-20 17:08:08,71.46,33,69,10.42
571,Verkhnyaya Toyma,62.23,45,2020-10-20 17:08:09,29.05,97,100,7.45
572,Sarangani,5.4,125.46,2020-10-20 17:08:10,82.72,76,79,9.71
573,Angoche,-16.23,39.91,2020-10-20 17:08:12,78.96,72,0,10.94
574,Samusu,-16.23,39.91,2020-10-20 17:08:12,78.96,72,0,10.94
575,Jubayl,-16.23,39.91,2020-10-20 17:08:12,78.96,72,0,10.94
576,Leshukonskoye,64.9,45.76,2020-10-20 17:01:03,25.41,98,88,6.13
577,Bonavista,48.65,-53.11,2020-10-20 17:03:17,55.24,81,99,14.27
578,Touros,-5.2,-35.46,2020-10-20 16:59:56,86,55,40,16.11
